TAG,SP,Species Group,XCO,YCO,D86,D90,D95,D00,D05,D10
1744,SHORP2,Sal,102.3116072,2.985569016,1.5,2.3,2.5,2.6,0.0,0.0
1745,HORSS2,Pulai,102.3116084,2.985564572,1.5,2.0,2.1,2.1,2.3,2.9
1746,MESUFE,Pulai,102.3114977,2.985523992,3.5,5.1,6.3,7.6,8.6,10.1
1747,XERONO,Pulai,102.3116087,2.985572756,1.0,1.7,1.5,1.5,1.6,2.9
1748,MEL1FU,Pulai,102.3116184,2.985563495,1.0,1.1,1.1,1.3,1.4,1.7
1749,ROTHMA,Pulai,102.3116123,2.985560326,1.0,1.0,1.1,1.0,1.1,1.1
1750,PAYELU,Pulai,102.3116222,2.985572846,2.0,2.5,2.5,2.5,0.0,0.0
1751,BARRMA,Pulai,102.3116221,2.98557465,1.5,1.8,1.8,1.8,2.1,2.2
1752,SHORAC,Sal,102.3116339,2.985573706,4.5,7.6,8.7,8.8,8.8,8.7
1753,MESUGR,Pulai,102.3116319,2.985563585,1.5,0.0,0.0,0.0,0.0,0.0
1754,BACCRE,Pulai,102.3116303,2.985560747,18.0,18.8,20.0,21.0,22.7,23.1
1755,OCHAAM,Pulai,102.3116251,2.985558546,3.0,0.0,4.1,4.1,4.3,4.4
1756,LITHCU,Pulai,102.3116326,2.985542773,24.7,26.1,27.7,0.0,0.0,0.0
1757,HOMALO,Pulai,102.3116293,2.985537998,3.5,4.9,5.2,0.0,0.0,0.0
1758,DIPTCR,Sal,102.311631,2.985539934,1.0,1.0,1.2,1.2,2.5,3.1
1759,ARDICR,Pulai,102.3116178,2.985547127,1.5,1.5,0.0,0.0,0.0,0.0
1760,DRYPPE,Pulai,102.3116094,2.985576431,1.5,2.0,2.3,2.3,0.0,0.0
1761,DIOSSC,Pulai,102.311595,2.985587165,1.5,1.9,2.0,2.3,2.5,2.6
1762,HOMALO,Pulai,102.3115919,2.985593281,4.5,6.2,6.7,6.6,0.0,0.0
1763,XYLOM2,Pulai,102.3115962,2.985595416,1.5,1.4,1.5,0.0,0.0,0.0
1764,MEL1FU,Pulai,102.3115903,2.985590442,1.0,1.4,1.5,1.8,1.6,1.8
1765,EURYLO,Pulai,102.3115904,2.985614027,4.0,4.4,4.5,4.4,4.7,4.7
1766,RINOAN,Pulai,102.3115924,2.985610552,2.5,2.9,3.1,3.2,3.7,3.8
1767,ARTOMA,Pulai,102.311599,2.985619199,8.0,8.8,13.8,15.1,16.4,17.3
1768,PAR1EL,Pulai,102.311601,2.985616625,1.5,2.3,2.5,2.5,3.8,0.0
1769,UROPGL,Pulai,102.3116024,2.985610377,1.0,1.3,0.0,0.0,0.0,0.0
1770,APORSY,Pulai,102.3114934,2.985583526,3.0,3.5,3.8,4.0,4.2,4.0
1771,DRYPPO,Pulai,102.3116127,2.985616583,1.5,1.8,2.1,2.1,0.0,0.0
1773,PHAEOP,Pulai,102.3116252,2.985619312,2.5,3.0,3.4,3.3,3.3,3.2
1774,KNEMLA,Pulai,102.3116263,2.985616673,1.5,1.6,1.7,1.6,1.7,1.7
1775,AGLACO,Pulai,102.311618,2.985606991,3.0,3.3,3.5,3.4,0.0,0.0
1776,RINOAN,Pulai,102.3116163,2.985605055,1.5,1.7,1.8,2.2,2.3,2.4
1777,NEOBHE,Chen,102.3116119,2.985603822,3.5,4.0,4.0,4.0,0.0,0.0
1778,DACRR1,Pulai,102.3116267,2.985598566,4.0,4.2,4.3,0.0,0.0,0.0
1779,DURIGR,Pulai,102.3116213,2.985585475,3.0,3.2,3.3,0.0,0.0,0.0
1780,XANTEU,Pulai,102.3115917,2.985620474,2.0,2.9,3.3,3.6,3.8,3.9
1781,DIPTCR,Sal,102.3116011,2.985628417,1.0,1.5,1.8,1.9,2.1,0.0
1782,MIC1CA,Pulai,102.311596,2.985647997,2.5,3.3,3.5,3.6,3.8,3.8
1783,ARDICR,Pulai,102.3115922,2.985651341,1.0,1.2,2.0,2.1,2.0,2.0
1784,DIOSSU,Pulai,102.3116042,2.985647691,1.0,2.0,2.8,2.8,2.8,0.0
1785,GYMNFO,Pulai,102.3116086,2.985648923,2.5,2.8,3.1,3.3,3.4,3.4
1786,ARDIS2,Pulai,102.3116017,2.985656579,1.0,1.4,0.0,0.0,0.0,0.0
1787,ARDICR,Pulai,102.3114807,2.985621586,1.5,1.8,1.8,2.2,2.4,2.4
1788,SHORP1,Sal,102.3115853,2.985658996,1.0,3.0,3.0,0.0,0.0,0.0
1789,KNEMFU,Pulai,102.3115841,2.985662538,3.0,3.7,3.9,3.8,3.9,0.0
1790,GARCPA,Pulai,102.311587,2.985660933,1.0,2.1,2.1,6.1,6.8,6.8
1791,ARDIS2,Pulai,102.311602,2.985664763,1.5,2.0,2.1,2.6,2.2,2.1
1792,DACRPU,Pulai,102.3116031,2.985662123,8.9,11.3,13.6,15.6,17.2,18.5
1793,ARDICR,Pulai,102.3116146,2.985664787,2.0,2.8,3.0,3.8,3.9,4.0
1794,MESUCO,Pulai,102.3116157,2.985663049,4.5,4.8,5.0,4.9,5.1,0.0
1795,ARDICR,Pulai,102.3116253,2.985666482,1.5,2.2,2.5,2.7,2.9,3.7
1796,ANAXJA,Pulai,102.3116274,2.985663006,2.0,2.5,2.6,2.8,3.0,2.9
1797,DRYPLA,Pulai,102.311628,2.985654888,7.7,7.9,8.2,8.1,8.1,8.1
1798,DIOSVE,Pulai,102.3116245,2.98565282,1.5,2.0,2.0,2.1,1.7,2.2
1799,PHAEOP,Pulai,102.3116109,2.985654534,1.0,1.6,1.8,1.6,1.8,1.7
1800,MONOMA,Pulai,102.3116129,2.98565196,10.7,13.1,15.6,18.1,19.5,20.9
1801,DACRR1,Pulai,102.3116122,2.985649188,6.5,7.1,7.8,8.1,8.0,8.2
1802,CLE1M2,Pulai,102.3116181,2.985641466,1.0,1.4,0.0,0.0,0.0,0.0
1803,GNETGN,Alder,102.3116155,2.985640366,1.0,2.2,0.0,0.0,0.0,0.0
1804,DRYPMI,Pulai,102.3116252,2.985632007,6.0,6.3,6.6,6.3,6.3,6.5
1805,DRYPLA,Pulai,102.3115117,2.985592131,10.0,10.1,10.4,10.2,10.2,10.2
1806,DIOSAP,Pulai,102.3116341,2.985632668,4.0,4.0,4.2,4.2,4.4,4.8
1807,SHOROC,Sal,102.3116339,2.985635374,2.0,2.4,2.9,2.6,2.7,2.7
1808,AGLAAS,Pulai,102.3116337,2.98563808,1.0,1.5,1.5,1.6,1.8,0.0
1809,KNEMPA,Pulai,102.3116451,2.985630756,1.0,1.5,1.9,1.6,1.8,0.0
1810,APORPR,Pulai,102.3116487,2.98563102,2.0,2.8,3.2,3.2,3.3,3.2
1811,KNEMLA,Pulai,102.3116545,2.985625103,1.0,1.6,2.2,1.8,2.1,0.0
1812,CLE1M2,Pulai,102.3116323,2.98564523,1.0,1.5,1.5,1.6,1.8,0.0
1813,APORGL,Pulai,102.3116385,2.985647497,4.5,5.2,5.5,5.7,5.9,5.9
1814,ALANEB,Pulai,102.3116363,2.985651875,3.0,3.5,0.0,2.1,2.3,2.4
1815,EUGEDU,Pulai,102.311639,2.985652074,1.0,1.2,1.6,2.7,2.9,2.9
1816,PIMEGR,Pulai,102.3116361,2.985667276,3.0,2.7,3.5,4.8,5.5,5.0
1817,MONOMA,Pulai,102.3116425,2.985666837,12.1,13.8,14.8,15.5,16.4,17.6
1818,DIPTCR,Sal,102.3116532,2.985668532,1.5,0.0,0.0,1.1,0.0,0.0
1819,ACTISE,Pulai,102.3116521,2.985658478,1.5,0.0,0.0,0.0,0.0,0.0
1820,DURIGR,Pulai,102.3116541,2.985655002,1.5,2.1,2.8,2.8,3.3,3.4
1821,SINDCO,Pulai,102.3115476,2.985619263,1.0,0.0,1.6,1.6,1.4,1.5
1822,MADHMA,Pulai,102.3116569,2.985654298,3.0,3.8,4.5,4.7,4.9,4.6
1823,EUGEDU,Pulai,102.3116543,2.985652296,5.0,0.0,0.0,0.0,0.0,0.0
1824,AGLACO,Pulai,102.3116624,2.985641099,1.5,2.0,2.2,2.2,2.0,0.0
1825,GIROSU,Alder,102.3116696,2.98565342,16.2,0.0,0.0,0.0,0.0,0.0
1827,APORM1,Pulai,102.3116622,2.98563111,1.0,1.4,1.5,1.7,1.7,1.8
1828,MESUFE,Pulai,102.3116599,2.985638194,2.0,3.1,4.0,4.6,4.5,4.6
1829,APORPR,Pulai,102.3115552,2.985588991,1.0,1.5,2.0,1.9,1.9,1.9
1830,APORM1,Pulai,102.3116652,2.9856277,2.5,3.0,3.5,3.6,3.7,3.6
1831,GNETGN,Alder,102.311659,2.985625434,1.0,1.5,1.7,1.6,1.7,1.7
1832,ARDICR,Pulai,102.3116434,2.985579846,2.0,2.0,2.3,1.9,2.1,0.0
1833,SHOROC,Sal,102.3116461,2.985580044,1.5,2.4,2.5,2.7,2.9,3.5
1834,DACRR1,Pulai,102.3116372,2.985602968,3.0,4.1,4.0,4.4,4.2,4.2
1835,APORSY,Pulai,102.3116389,2.985616696,1.0,1.4,2.1,2.2,2.6,2.5
1836,SHORAC,Sal,102.3116502,2.985622968,1.5,2.0,0.0,0.0,0.0,0.0
1837,KNEMPA,Pulai,102.3116574,2.985622595,2.0,2.4,2.8,2.8,3.1,3.1
1838,PAYELU,Pulai,102.3116588,2.985616347,12.4,13.7,15.0,15.4,15.7,15.8
1839,PALAMA,Pulai,102.3116682,2.985623389,14.3,14.7,16.0,17.8,30.3,32.7
1840,KNEMLA,Pulai,102.311672,2.985620045,3.0,1.5,1.8,1.6,1.7,1.5
1841,SCA1SP,Pulai,102.3116754,2.985611223,1.5,2.0,2.3,2.3,2.3,2.2
1842,XANTEU,Pulai,102.3116687,2.985603478,1.5,1.8,2.1,2.4,2.2,2.3
1843,MEL1FU,Pulai,102.3116771,2.985599563,2.0,2.6,2.8,2.9,2.9,3.2
1844,HEL2VE,Pulai,102.31167,2.985598132,3.0,4.2,4.5,4.2,4.7,4.7
1845,LICASP,Pulai,102.3115481,2.985563073,19.0,19.7,21.0,21.9,2.2,2.0
1846,SHORP1,Sal,102.3116336,2.985602703,2.0,2.4,2.6,2.4,2.8,2.9
1847,SHORBR,Sal,102.311665,2.985580531,1.5,3.2,4.1,4.1,4.2,0.0
1848,SHORP2,Sal,102.3116538,2.985585149,1.5,3.4,3.5,3.4,4.1,4.4
1849,DACRR1,Pulai,102.3116568,2.985580838,6.2,6.7,7.1,7.1,7.4,8.2
1850,SHORP2,Sal,102.3116533,2.985580573,1.5,1.8,1.8,0.0,0.0,0.0
1851,ANAXJA,Pulai,102.3116693,2.985583567,1.0,1.3,1.4,1.6,1.8,0.0
1852,EPIPMA,Pulai,102.3116499,2.985540421,3.5,4.4,4.9,5.4,0.0,0.0
